name,base,response,value,content
List,Erp.BO.ApplyDebitMemoSvc/List,200,Yes,"{""Company"":""157803"",""Posted"":true,""GroupID"":""CB051121"",""HeadNum"":52646,""BankAcctID"":""CASH"",""CheckNum"":10000,""CheckDate"":""2021-05-11T00:00:00-05:00"",""FiscalYear"":2021,""FiscalPeriod"":5,""Voided"":true,""CheckSrc"":""1"",""ClearedCheck"":false,""ClearedPending"":false,""ClearedAmt"":0,""DocClearedAmt"":0,""ClearedPerson"":"""",""ClearedDate"":null,""ClearedTime"":"""",""ClearedStmtEndDate"":null,""EmployeeNum"":"""",""CheckAmt"":42.72,""DocCheckAmt"":42.72,""ManualPrint"":false,""EntryPerson"":""CBlair"",""VendorNum"":86,""Name"":""Brand It Boston, Inc"",""Address1"":""7 Riverbank Avenue"",""Address2"":"""",""Address3"":"""",""City"":""Danvers"",""State"":""MA"",""ZIP"":""01923"",""Country"":"""",""CurrencyCode"":""USD"",""ExchangeRate"":1,""CountryNum"":0,""BankSlip"":"""",""ElecPayment"":false,""VendorBankID"":"""",""VendorBankName"":"""",""VendorBankNameOnAccount"":"""",""VendorBankAddress1"":"""",""VendorBankAddress2"":"""",""VendorBankAddress3"":"""",""VendorBankCity"":"""",""VendorBankState"":"""",""VendorBankPostalCode"":"""",""VendorBankCountryNum"":0,""VendorBankAcctNumber"":"""",""VendorBankSwiftNum"":"""",""CashBookNum"":0,""CashbookLine"":0,""XRefCheckNum"":"""",""Rpt1CheckAmt"":0,""Rpt2CheckAmt"":0,""Rpt3CheckAmt"":0,""Rpt1ClearedAmt"":0,""Rpt2ClearedAmt"":0,""Rpt3ClearedAmt"":0,""RateGrpCode"":""MAIN"",""FiscalYearSuffix"":"""",""FiscalCalendarID"":""FINANCIAL"",""PaymentTotal"":42.72,""DocPaymentTotal"":42.72,""Rpt1PaymentTotal"":0,""Rpt2PaymentTotal"":0,""Rpt3PaymentTotal"":0,""Variance"":0,""DocVariance"":0,""Rpt1Variance"":0,""Rpt2Variance"":0,""Rpt3Variance"":0,""PaymentBankRate"":1,""BankTotalAmt"":42.72,""IsEnterTotal"":false,""LockRate"":0,""ReadyToCalc"":true,""RecalcBeforePost"":false,""UsePendAcct"":false,""ForceDiscount"":false,""FirstHeadNum"":0,""ApplyingPayment"":false,""Plant"":"""",""InvoiceNum"":"""",""PMUID"":2,""PCashDeskID"":"""",""BankTranID"":"""",""PCashRefNum"":0,""BankPaidAmt"":0,""DocBankPaidAmt"":0,""Rpt1BankPaidAmt"":0,""Rpt2BankPaidAmt"":0,""Rpt3BankPaidAmt"":0,""BankTransDate"":null,""SysRevID"":77410153,""SysRowID"":""c9992449-19e8-4f16-b021-44a2c7247340"",""NOPaymentStatus"":0,""MXRecDate"":null,""PayLegalNumber"":"""",""LegalNumber"":"""",""BankBatchSysRowID"":""00000000-0000-0000-0000-000000000000"",""THPayerType"":1,""VoidDate"":null,""BaseCurrSymbol"":"""",""OneTimeVendor"":false,""PaymentStatus"":"""",""PaymentAmount"":0,""VendorID"":""V0085"",""BankAccountEnabled"":false,""FullyPaid"":false,""TotalRoundDiff"":0,""BankCurrCode"":"""",""EnterPaymentTotal"":false,""XRateLabelPaymentBank"":"""",""XRateLabelPaymentBase"":""Exchange Rate"",""BankCurrSymbol"":"""",""IsLcked"":false,""RvnJrnUID"":0,""LockStatus"":""Not Posted"",""ExchangeRateDisabled"":false,""BaseExchRate"":false,""DocUnappliedAmt"":0,""UnappliedAmt"":0,""Rpt1UnappliedAmt"":0,""Rpt2UnappliedAmt"":0,""Rpt3UnappliedAmt"":0,""InvType"":"""",""DocUnpostedBal"":0,""HasLines"":true,""BaseCurrencyCode"":"""",""EnableCurrency"":false,""EnableIsEnterTotal"":false,""BankAcctIDBankName"":""Citibank"",""BankAcctIDDescription"":""Citibank"",""BaseCurrSymbolDocumentDesc"":"""",""BaseCurrSymbolCurrencyID"":""USD"",""BaseCurrSymbolCurrName"":""USD"",""BaseCurrSymbolCurrSymbol"":"""",""BaseCurrSymbolCurrDesc"":""USD"",""CashbookLineDescription"":"""",""CountryNumDescription"":"""",""CurrencyCodeCurrName"":""USD"",""CurrencyCodeCurrDesc"":""USD"",""CurrencyCodeCurrSymbol"":"""",""CurrencyCodeCurrencyID"":""USD"",""CurrencyCodeDocumentDesc"":"""",""VendorBankCountryNumDescription"":"""",""VendorNumAddress2"":"""",""VendorNumCountry"":"""",""VendorNumName"":""Brand It Boston, Inc"",""VendorNumVendorID"":""V0085"",""VendorNumAddress3"":"""",""VendorNumCurrencyCode"":""USD"",""VendorNumState"":""MA"",""VendorNumZIP"":""01923"",""VendorNumAddress1"":""7 Riverbank Avenue"",""VendorNumCity"":""Danvers"",""VendorNumDefaultFOB"":"""",""VendorNumTermsCode"":""N30"",""UrgentCheck"":false,""RowMod"":""""}"
APPromissoryNotes,Erp.BO.APPromissoryNotesSvc/APPromissoryNotes,200,No,
APPNHeadAttches,Erp.BO.APPromissoryNotesSvc/APPNHeadAttches,200,No,
APPNDtls,Erp.BO.APPromissoryNotesSvc/APPNDtls,200,No,
BankTrans,Erp.BO.APPromissoryNotesSvc/BankTrans,200,No,
BankTranGLCs,Erp.BO.APPromissoryNotesSvc/BankTranGLCs,200,No,
APPNHeadTGLCs,Erp.BO.APPromissoryNotesSvc/APPNHeadTGLCs,200,No,
EntityGLCs,Erp.BO.APPromissoryNotesSvc/EntityGLCs,200,No,
LegalNumGenOpts,Erp.BO.APPromissoryNotesSvc/LegalNumGenOpts,Request failed with status code 500,,
PITotals,Erp.BO.APPromissoryNotesSvc/PITotals,Request failed with status code 500,,
List,Erp.BO.APPromissoryNotesSvc/List,200,No,
APPromNoteGrps,Erp.BO.APPromNoteGrpSvc/APPromNoteGrps,200,Yes,"{""Company"":""157803"",""GroupID"":""CASH1"",""CreatedBy"":""KCourtemanche"",""ActiveUserID"":"""",""BankAcctID"":""CASH"",""CheckDate"":""2021-12-31T00:00:00-06:00"",""CurrencyCode"":""USD"",""Cashbook"":true,""PostErrorLog"":"""",""PostInProcess"":false,""RateGrpCode"":"""",""PMUID"":0,""PromissoryNote"":false,""EIPaymSent"":false,""GrpCreationVia"":"""",""AutoGenerated"":false,""SysRevID"":88368023,""SysRowID"":""68721303-cf95-41ff-ac12-12648ec40bfd"",""CHOrderNum"":0,""NOPaymentList"":false,""BankBatchSysRowID"":""00000000-0000-0000-0000-000000000000"",""Plant"":"""",""CentralizedPayment"":false,""APInterfaced"":true,""BankCurrencyCode"":"""",""BankTotalAmountToAP"":0,""BankTotalCheckAmt"":0,""BankTotalDiscAmt"":0,""BankTotalMiscCheckAmt"":0,""BankTotalWithholdTax"":0,""BaseCurrencyID"":"""",""BaseCurrSymbol"":"""",""CurrencyList"":"""",""DispCurrencyCode"":"""",""DocBankTotalCheckAmt"":0,""DspBankBatchID"":"""",""EFTAllowZeroNet"":true,""EFTDebitMemoDueDate"":null,""EFTDebitMemoHandlingCode"":"""",""EIGrouping"":false,""EnableCurrency"":true,""FromImportPmt"":false,""NOTelepayPayment"":false,""NOTelepayReply"":false,""PymtProposal"":false,""Rpt1BankTotalCheckAmt"":0,""Rpt1TotalCheckAmt"":0,""Rpt1TotalDiscAmt"":0,""Rpt1TotalMiscCheckAmt"":0,""Rpt1TotalWithHoldTax"":0,""Rpt2BankTotalCheckAmt"":0,""Rpt2TotalCheckAmt"":0,""Rpt2TotalDiscAmt"":0,""Rpt2TotalMiscCheckAmt"":0,""Rpt2TotalWithHoldTax"":0,""Rpt3BankTotalCheckAmt"":0,""Rpt3TotalCheckAmt"":0,""Rpt3TotalDiscAmt"":0,""Rpt3TotalMiscCheckAmt"":0,""Rpt3TotalWithHoldTax"":0,""SEEFTPO3Payment"":false,""TotalAmountToAP"":0,""TotalCheckAmt"":0,""TotalDiscAmt"":0,""TotalDocAmountToAP"":0,""TotalDocCheckAmt"":0,""TotalDocDiscAmt"":0,""TotalDocMiscCheckAmt"":0,""TotalDocWithHoldTax"":0,""TotalMiscCheckAmt"":0,""TotalWithHoldTax"":0,""UIGrouping"":false,""BankAcctIDEnabled"":true,""BankCurrDesc"":"""",""APPaymentUseBankAvg"":false,""BitFlag"":0,""BankAcctIDDescription"":""Citibank"",""BankAcctIDBankName"":""Citibank"",""BaseCurrSymbolCurrSymbol"":"""",""BaseCurrSymbolCurrencyID"":""USD"",""BaseCurrSymbolDocumentDesc"":"""",""BaseCurrSymbolCurrDesc"":""USD"",""BaseCurrSymbolCurrName"":""USD"",""CurrencyCodeCurrSymbol"":"""",""CurrencyCodeCurrDesc"":""USD"",""CurrencyCodeDocumentDesc"":"""",""CurrencyCodeCurrencyID"":""USD"",""CurrencyCodeCurrName"":""USD"",""PayMethodOnlyBankCurr"":false,""PayMethodName"":"""",""PayMethodSummarizePerCustomer"":false,""PayMethodType"":0,""RateGrpDescription"":"""",""XbSystSiteIsLegalEntity"":false,""RowMod"":""""}"
APChkGrpAttches,Erp.BO.APPromNoteGrpSvc/APChkGrpAttches,200,No,
List,Erp.BO.APPromNoteGrpSvc/List,200,Yes,"{""Company"":""157803"",""GroupID"":""CASH1"",""CreatedBy"":""KCourtemanche"",""ActiveUserID"":"""",""BankAcctID"":""CASH"",""CheckDate"":""2021-12-31T00:00:00-06:00"",""CurrencyCode"":""USD"",""Cashbook"":true,""PostErrorLog"":"""",""PostInProcess"":false,""RateGrpCode"":"""",""PMUID"":0,""PromissoryNote"":false,""EIPaymSent"":false,""GrpCreationVia"":"""",""SysRevID"":88368023,""SysRowID"":""68721303-cf95-41ff-ac12-12648ec40bfd"",""APInterfaced"":false,""TotalCheckAmt"":0,""TotalDocCheckAmt"":0,""TotalMiscCheckAmt"":0,""TotalAmountToAP"":0,""TotalDiscAmt"":0,""TotalDocDiscAmt"":0,""BaseCurrSymbol"":"""",""TotalDocMiscCheckAmt"":0,""BankAcctIDEnabled"":false,""Rpt1TotalCheckAmt"":0,""Rpt2TotalCheckAmt"":0,""Rpt3TotalCheckAmt"":0,""Rpt1TotalDiscAmt"":0,""Rpt2TotalDiscAmt"":0,""Rpt3TotalDiscAmt"":0,""Rpt1TotalMiscCheckAmt"":0,""Rpt2TotalMiscCheckAmt"":0,""Rpt3TotalMiscCheckAmt"":0,""TotalWithHoldTax"":0,""TotalDocWithHoldTax"":0,""Rpt1TotalWithHoldTax"":0,""Rpt3TotalWithHoldTax"":0,""Rpt2TotalWithHoldTax"":0,""EnableCurrency"":true,""BaseCurrencyID"":"""",""DispCurrencyCode"":"""",""PymtProposal"":false,""BankTotalCheckAmt"":0,""BankTotalMiscCheckAmt"":0,""BankCurrencyCode"":"""",""BankTotalDiscAmt"":0,""BankTotalWithholdTax"":0,""BankTotalAmountToAP"":0,""TotalDocAmountToAP"":0,""BankCurrDesc"":"""",""CurrencyList"":"""",""FromImportPmt"":false,""BankAcctIDBankName"":""Citibank"",""BankAcctIDDescription"":""Citibank"",""BaseCurrSymbolDocumentDesc"":"""",""BaseCurrSymbolCurrencyID"":"""",""BaseCurrSymbolCurrName"":"""",""BaseCurrSymbolCurrDesc"":"""",""BaseCurrSymbolCurrSymbol"":"""",""CurrencyCodeCurrDesc"":""USD"",""CurrencyCodeCurrSymbol"":"""",""CurrencyCodeCurrencyID"":"""",""CurrencyCodeDocumentDesc"":"""",""CurrencyCodeCurrName"":""USD"",""PayMethodOnlyBankCurr"":false,""PayMethodName"":"""",""PayMethodSummarizePerCustomer"":false,""PayMethodType"":0,""RateGrpDescription"":"""",""RowMod"":""""}"
AprvVends,Erp.BO.AprvVendSvc/AprvVends,200,Yes,"{""Company"":""157803"",""APVType"":""MTL"",""VendorNum"":265,""PartNum"":""4100500100"",""ClassID"":"""",""CustNum"":0,""OpCode"":"""",""SysRevID"":104331109,""SysRowID"":""9da82234-3e30-4d01-80f0-9f52c2a32d3f"",""APVTypeX"":""P"",""CalledFrom"":"""",""BitFlag"":0,""ClassIDDescription"":"""",""CustNumBTName"":"""",""CustNumCustID"":"""",""CustNumName"":"""",""OpCodeOpDesc"":"""",""PartNumSellingFactor"":1,""PartNumPricePerCode"":""E"",""PartNumIUM"":""EA"",""PartNumTrackSerialNum"":false,""PartNumSalesUM"":""EA"",""PartNumTrackLots"":false,""PartNumPartDescription"":""Spectra Operator Goggle"",""PartNumTrackDimension"":false,""VendorNumAddress3"":"""",""VendorNumAddress2"":"""",""VendorNumCountry"":""USA"",""VendorNumVendorID"":""V0264"",""VendorNumAddress1"":""8211 Blaikie Court"",""VendorNumName"":""Innovative Optics"",""VendorNumState"":""FL"",""VendorNumDefaultFOB"":"""",""VendorNumCurrencyCode"":""USD"",""VendorNumTermsCode"":""N30"",""VendorNumZIP"":""34240"",""VendorNumCity"":""Sarasota"",""RowMod"":""""}"
PartXRefVends,Erp.BO.AprvVendSvc/PartXRefVends,200,Yes,"{""Company"":""157803"",""PartNum"":""3110908300"",""VendorNum"":369,""VendPartNum"":""3110908301"",""MfgNum"":0,""MfgPartNum"":"""",""Reference"":""3/6/2023 update"",""LeadTime"":15,""PurchaseDefault"":true,""SysRevID"":112063819,""SysRowID"":""d2c2cc49-50d2-47e0-986f-a7abdfe2f4f4"",""APVType"":""MTL"",""CustNum"":0,""ClassID"":"""",""OpCode"":"""",""Description"":"""",""BitFlag"":0,""MfgNumName"":"""",""MfgNumMfgID"":"""",""MfgPartNumLifecycleStatus"":"""",""MfgPartNumLeadTime"":"""",""RowMod"":""""}"
List,Erp.BO.AprvVendSvc/List,200,Yes,"{""Company"":""157803"",""APVType"":""MTL"",""VendorNum"":265,""PartNum"":""4100500100"",""ClassID"":"""",""CustNum"":0,""OpCode"":"""",""SysRevID"":104331109,""SysRowID"":""9da82234-3e30-4d01-80f0-9f52c2a32d3f"",""APVTypeX"":"""",""CalledFrom"":"""",""ClassIDDescription"":"""",""CustNumBTName"":"""",""CustNumCustID"":"""",""CustNumName"":"""",""OpCodeOpDesc"":"""",""PartNumPartDescription"":"""",""PartNumSellingFactor"":0,""PartNumTrackSerialNum"":false,""PartNumPricePerCode"":"""",""PartNumTrackDimension"":false,""PartNumIUM"":"""",""PartNumSalesUM"":"""",""PartNumTrackLots"":false,""VendorNumAddress3"":"""",""VendorNumCurrencyCode"":"""",""VendorNumZIP"":"""",""VendorNumState"":"""",""VendorNumAddress1"":"""",""VendorNumCity"":"""",""VendorNumDefaultFOB"":"""",""VendorNumTermsCode"":"""",""VendorNumAddress2"":"""",""VendorNumCountry"":"""",""VendorNumName"":"""",""VendorNumVendorID"":"""",""RowMod"":""""}"
APTranSearches,Erp.BO.APTranSearchSvc/APTranSearches,200,Yes,"{""Company"":""157803"",""TranType"":""ADJ"",""HeadNum"":0,""APTranNo"":76995,""InvoiceNum"":""L211013-S04"",""Posted"":true,""TranAmt"":0,""DocTranAmt"":0,""DiscAmt"":0,""DocDiscAmt"":0,""Description"":""Zero Bal."",""BankAcctID"":"""",""CheckNum"":0,""TranDate"":""2021-10-13T00:00:00-05:00"",""FiscalYear"":2021,""FiscalPeriod"":11,""GLPosted"":true,""Voided"":false,""EntryPerson"":""CBlair"",""VendorNum"":369,""Comment"":"""",""TaxRegionCode"":"""",""TaxAmt"":0,""DocTaxAmt"":0,""RefType"":"""",""RefCode"":"""",""RefCodeDesc"":"""",""RoundDiff"":0,""Rpt1DiscAmt"":0,""Rpt2DiscAmt"":0,""Rpt3DiscAmt"":0,""Rpt1TaxAmt"":0,""Rpt2TaxAmt"":0,""Rpt3TaxAmt"":0,""Rpt1TranAmt"":0,""Rpt2TranAmt"":0,""Rpt3TranAmt"":0,""FiscalYearSuffix"":"""",""FiscalCalendarID"":""FINANCIAL"",""GetDfltTaxIds"":true,""LegalNumber"":"""",""WithholdAmt"":0,""DocWithholdAmt"":0,""Rpt1WithholdAmt"":0,""Rpt2WithholdAmt"":0,""Rpt3WithholdAmt"":0,""SelfAssessAmt"":0,""DocSelfAssessAmt"":0,""Rpt1SelfAssessAmt"":0,""Rpt2SelfAssessAmt"":0,""Rpt3SelfAssessAmt"":0,""RedStorno"":false,""PrePayment"":false,""ContractRef"":"""",""ContractRefDate"":null,""RefPONum"":0,""TaxReceiptDate"":null,""TaxReceiptNo"":"""",""WHTCertificateDate"":null,""WHTCertificateNo"":"""",""PCashDeskID"":"""",""GainLossType"":"""",""PCashRefNum"":0,""ReverseGL"":false,""RevalueDate"":null,""RevalueBal"":0,""DocRevalueBal"":0,""Rpt1RevalueBal"":0,""Rpt2RevalueBal"":0,""Rpt3RevalueBal"":0,""BankID"":"""",""BankPaidAmt"":0,""DocBankPaidAmt"":0,""Rpt1BankPaidAmt"":0,""Rpt2BankPaidAmt"":0,""Rpt3BankPaidAmt"":0,""AdjLegalNumber"":"""",""AdjTranDocTypeID"":"""",""TranDocTypeID"":"""",""MainSite"":false,""SiteCode"":"""",""BranchID"":"""",""InvoiceDate"":null,""Remarks"":"""",""AssetTypeCode"":"""",""Cash"":false,""CreditCard"":false,""Normal"":false,""CardID"":"""",""CardHolderTaxID"":"""",""CardMemberName"":"""",""Excluded"":false,""Deferred"":false,""NonDeductAmt"":0,""NonDeductDocAmt"":0,""NonDeductRpt1Amt"":0,""NonDeductRpt2Amt"":0,""NonDeductRpt3Amt"":0,""PaymentNumber"":"""",""SysRevID"":86994722,""SysRowID"":""b41d74d1-bf96-4c73-9f47-c6156d8d9250"",""UrgentPayment"":false,""InvoiceRef"":"""",""RateGrpCode"":"""",""CNCFICode"":"""",""Gen1099Date"":null,""NOTranReason"":"""",""PEIsDetractionPayment"":false,""Code1099ID"":"""",""FormTypeID"":"""",""ChangedBy"":""CBlair"",""ChangeDate"":""2021-11-29T17:15:58.1-06:00"",""DocWhManAddAmt"":0,""WhManAddAmt"":0,""Rpt1WhManAddAmt"":0,""Rpt2WhManAddAmt"":0,""Rpt3WhManAddAmt"":0,""CheckAccess"":false,""CPayBalance"":0,""CPayCheckDate"":null,""CPayCheckNum"":0,""CPayDocBalance"":0,""CPayIMReceived"":false,""CurrDesc"":"""",""CurrencyCode"":""USD"",""CurrencyID"":"""",""CurrName"":"""",""CurrSymbol"":"""",""DocumentDesc"":"""",""InvCurrSymbol"":"""",""InvoiceAmt"":0,""InvoiceDiscount"":0,""InvType"":""Invoice"",""TranDesc"":""Adjust"",""BOEInvoiceNum"":"""",""CheckAmt"":0,""NettingID"":0,""PayingSiteCode"":"""",""BitFlag"":0,""BankAcctDescription"":"""",""BankAcctBankName"":"""",""VendorState"":"""",""VendorCity"":"""",""VendorName"":""Lutronic Corp."",""VendorZIP"":"""",""VendorTermsCode"":"""",""VendorVendorID"":""V0368"",""VendorAddress2"":"""",""VendorAddress3"":"""",""VendorAddress1"":"""",""VendorDefaultFOB"":"""",""VendorCurrencyCode"":""USD"",""VendorCountry"":"""",""VendorBankBankName"":"""",""RowMod"":""""}"
PaymentTotals,Erp.BO.APTranSearchSvc/PaymentTotals,Request failed with status code 500,,
List,Erp.BO.APTranSearchSvc/List,200,Yes,"{""Company"":""157803"",""TranType"":""ADJ"",""HeadNum"":0,""APTranNo"":76995,""InvoiceNum"":""L211013-S04"",""Posted"":true,""TranAmt"":0,""DocTranAmt"":0,""DiscAmt"":0,""DocDiscAmt"":0,""Description"":""Zero Bal."",""BankAcctID"":"""",""CheckNum"":0,""TranDate"":""2021-10-13T00:00:00-05:00"",""FiscalYear"":2021,""FiscalPeriod"":11,""GLPosted"":true,""Voided"":false,""EntryPerson"":""CBlair"",""VendorNum"":369,""Comment"":"""",""TaxRegionCode"":"""",""TaxAmt"":0,""DocTaxAmt"":0,""RefType"":"""",""RefCode"":"""",""RefCodeDesc"":"""",""RoundDiff"":0,""Rpt1DiscAmt"":0,""Rpt2DiscAmt"":0,""Rpt3DiscAmt"":0,""Rpt1TaxAmt"":0,""Rpt2TaxAmt"":0,""Rpt3TaxAmt"":0,""Rpt1TranAmt"":0,""Rpt2TranAmt"":0,""Rpt3TranAmt"":0,""FiscalYearSuffix"":"""",""FiscalCalendarID"":""FINANCIAL"",""GetDfltTaxIds"":true,""LegalNumber"":"""",""WithholdAmt"":0,""DocWithholdAmt"":0,""Rpt1WithholdAmt"":0,""Rpt2WithholdAmt"":0,""Rpt3WithholdAmt"":0,""SelfAssessAmt"":0,""DocSelfAssessAmt"":0,""Rpt1SelfAssessAmt"":0,""Rpt2SelfAssessAmt"":0,""Rpt3SelfAssessAmt"":0,""RedStorno"":false,""PrePayment"":false,""ContractRef"":"""",""ContractRefDate"":null,""RefPONum"":0,""TaxReceiptDate"":null,""TaxReceiptNo"":"""",""WHTCertificateDate"":null,""WHTCertificateNo"":"""",""PCashDeskID"":"""",""GainLossType"":"""",""PCashRefNum"":0,""ReverseGL"":false,""RevalueDate"":null,""RevalueBal"":0,""DocRevalueBal"":0,""Rpt1RevalueBal"":0,""Rpt2RevalueBal"":0,""Rpt3RevalueBal"":0,""BankID"":"""",""BankPaidAmt"":0,""DocBankPaidAmt"":0,""Rpt1BankPaidAmt"":0,""Rpt2BankPaidAmt"":0,""Rpt3BankPaidAmt"":0,""AdjLegalNumber"":"""",""AdjTranDocTypeID"":"""",""TranDocTypeID"":"""",""MainSite"":false,""SiteCode"":"""",""BranchID"":"""",""InvoiceDate"":null,""Remarks"":"""",""AssetTypeCode"":"""",""Cash"":false,""CreditCard"":false,""Normal"":false,""CardID"":"""",""CardHolderTaxID"":"""",""CardMemberName"":"""",""Excluded"":false,""Deferred"":false,""NonDeductAmt"":0,""NonDeductDocAmt"":0,""NonDeductRpt1Amt"":0,""NonDeductRpt2Amt"":0,""NonDeductRpt3Amt"":0,""SysRevID"":86994722,""SysRowID"":""b41d74d1-bf96-4c73-9f47-c6156d8d9250"",""Gen1099Date"":null,""InvCurrSymbol"":"""",""TranDesc"":"""",""CheckAccess"":false,""CheckAmt"":0,""InvoiceAmt"":0,""InvoiceDiscount"":0,""InvType"":"""",""CPayCheckNum"":0,""CPayCheckDate"":null,""CPayBalance"":0,""CPayDocBalance"":0,""CPayIMReceived"":false,""CurrencyCode"":"""",""BankAcctDescription"":"""",""BankAcctBankName"":"""",""CurrencyCurrSymbol"":"""",""CurrencyCurrDesc"":"""",""CurrencyCurrencyID"":"""",""CurrencyDocumentDesc"":"""",""CurrencyCurrName"":"""",""VendorTermsCode"":"""",""VendorAddress2"":"""",""VendorCountry"":"""",""VendorName"":"""",""VendorVendorID"":"""",""VendorAddress3"":"""",""VendorCurrencyCode"":"""",""VendorState"":"""",""VendorZIP"":"""",""VendorAddress1"":"""",""VendorCity"":"""",""VendorDefaultFOB"":"""",""RowMod"":""""}"
ARAdjustments,Erp.BO.ARAdjustmentSvc/ARAdjustments,200,Yes,"{""Company"":""157803"",""OpenInvoice"":false,""CreditMemo"":true,""Posted"":true,""InvoiceNum"":1,""InvoiceType"":""Mis"",""CustNum"":1103,""InvoiceDate"":""2021-04-28T00:00:00-05:00"",""InvoiceAmt"":12500,""DocInvoiceAmt"":12500,""InvoiceBal"":0,""DocInvoiceBal"":0,""CurrencyCode"":""USD"",""ExchangeRate"":1,""LockRate"":false,""LegalNumber"":""1"",""Rpt1InvoiceAmt"":0,""Rpt2InvoiceAmt"":0,""Rpt3InvoiceAmt"":0,""Rpt1InvoiceBal"":0,""Rpt2InvoiceBal"":0,""Rpt3InvoiceBal"":0,""ApplyDate"":""2021-04-28T00:00:00-05:00"",""SysRowID"":""c02cd440-b353-4575-b297-e61b58db4a44"",""CurrencySwitch"":true,""BaseCurrSymbol"":"""",""IsLcked"":false,""RvnJrnUID"":0,""LockStatus"":"""",""BaseCurrencyID"":""USD"",""CorrectionInvNeg"":false,""BitFlag"":0,""CurrencyCurrSymbol"":"""",""CurrencyCurrDesc"":""USD"",""CurrencyCurrName"":""USD"",""CurrencyCurrencyID"":""USD"",""CurrencyDocumentDesc"":"""",""CustomerBTName"":"""",""CustomerCustID"":""101888"",""CustomerName"":""John Lee, MD, FACOG"",""RowMod"":""""}"
